arxiv_id,query,rank
2112.07252,improve sleep stage classification using single channel heart rate data,5
2109.12755,measure if deep learning architectures can internalize abstract mathematical logic,2
2108.03645,optimize computing resource utilization for concurrent model training jobs,3
2110.1491,survey computational techniques for identifying respiratory viruses from medical data,1
2110.14706,benchmark outlier detection algorithms for autonomous navigation safety,145
2107.00395,incorporate structural semantic information into language models for logographic scripts,18001
2110.09605,synthesize realistic physical interaction sounds for multimedia applications,20
2106.05268,implement artificial intelligence algorithms on non-traditional computing platforms using high-dimensional vectors,28
2105.10317,dynamically discover optimal representation spaces for evolutionary algorithms,446
2106.09435,train reinforcement learning agents in non-competitive multi-player environments,191
2107.12979,understand the biological mechanisms of expectation and sensory updating in human cognition,81
2110.11567,measure classifier performance when perfect manual annotations are completely unavailable,72
2112.04169,distribute limited supplies equitably among diverse demographic groups over time,5
2111.04472,categorize different types of environmental variables in software design,8
2111.07631,review recent developments in game playing AI,1
2107.13669,improve sentiment analysis fusion performance,9
2107.01142,optimize end-to-end performance in autonomous vehicles,45
2106.13052,survey intersection driving simulation and datasets,1
2109.05125,perform image-text matching for under-resourced languages,21
2105.07405,develop robust policies for multi-agent systems,169
2206.13658,model cause-and-effect relationships in geospatial data,45
2212.10565,compare explainable AI methods for image classification,2
2209.02066,evaluate trust factors in robot communication,184
2206.119,generate counterfactuals for black-box models,1292
2212.01683,predict surgical activity from kinematic data,3
2210.09753,design interactive robots for clinical settings,2
2210.14723,improve speech synthesis with limited data,16
2210.08356,identify root causes of deep learning errors,5
2211.16468,estimate causal effects in observational data,93
2207.13192,generate perturbations for music classification,5
2206.1194,learn goal-oriented policies in reinforcement learning,231
2209.03785,improve BCI calibration for new users,3
2207.14682,identify manipulated audio files,24
2209.02886,share learned behaviors between autonomous agents,4
2212.09328,train RL policies using quantum computing,2
2206.14244,improve sample efficiency in robot learning,10313
2211.04343,design efficient quantum architectures,6
2211.05182,automate evaluation of counseling techniques,1
2208.09554,perform one-shot learning with multiple knowledge sources,1
2208.03454,improve recommendation accuracy using tags,281
2401.10745,define governance frameworks for future AI,689
2309.10426,predict interaction outcomes for multiple objects,1
2310.12931,automate reward engineering for reinforcement learning,45
2312.09799,optimize video compression efficiency,109
2312.08847,forecast future process activities,14
2311.1377,use body movement to generate digital art,2
2312.08571,improve automatic speech recognition robustness,6
2310.18316,develop transparent machine learning models,37512
2311.03362,test AI components in safety-critical driving,15
2310.12866,predict chemotherapy response from pathology slides,1
2309.05787,develop multimodal interfaces for robots,118
2312.07753,improve deep learning for structured data,45
2311.03567,reduce algorithmic bias in facial verification,27
2311.16204,automate financial transaction planning,1173
2311.02847,enable zero-shot learning for robot tasks,374
2309.17288,automate creation of specialized AI agents,11
2311.13725,evaluate impact of generative AI on creative communities,40
2310.10863,coordinate aerial robot views for filming,1
2310.05751,identify ethical standards for AI deployment,13
2312.14625,assess vulnerability of navigation systems,9
2412.05586,compare symbolic and neural reasoning models,5
2411.01789,create software assertions from documentation,228
2412.17338,improve coherence in unsupervised topic discovery,1
2410.10924,evaluate MI estimators on image and text,5
2412.0948,define cognitive parameters for machine learning,11
2412.17288,improve embodied agent navigation with limited data,46
2412.16425,standardize evaluation of cell classification,5
2412.12198,analyze human search strategies in images,5
2410.18861,identify AI-generated text in open-source models,305
2410.15048,design decentralized agent collaboration,416
2412.16925,quantify public response to pandemic events,1
2410.08911,conduct empirical software experiments,2
2412.19834,secure AI-generated content against tampering,387
2412.17616,implement emotion recognition in smart systems,58
2412.05587,improve code generation for mapping platforms,218
2501.01435,evaluate cybersecurity for LLM integrations,14
2410.18475,automate gene target identification,191
2412.06312,improve PDDL expressivity for complex problems,509
2411.10464,monitor student engagement in online learning,1
2412.16788,identify fraud in attributed networks,2
2511.21448,evaluate email classification model reliability,3
2512.0553,improve logical robustness of MLLMs,5095
2511.01018,identify high-risk asthma patients using EMR,1
2511.11252,evaluate reasoning in autonomous aerial systems,1
2511.15002,optimize network resources using MARL,126
2512.09319,implement efficient intelligence on edge devices,261
2511.05625,assess impact of AI on educational interactions,1
2511.04144,support metacognitive processes in programming,1
2511.13365,protect data in distributed deep learning,26
2512.1472,evaluate AI agent performance on social media,8
2512.07009,speed up livestock monitoring pipelines,1
2511.08206,assess LLM performance on structured clinical data,6
2511.19457,optimize inference on resource-constrained devices,8
2512.23889,analyze demographic representation in AI surveys,10
2512.04359,improve reasoning in large language models,2023
2510.26384,select representative data subsets for testing,151
2512.14181,select better encoders for quantum models,45
2511.17592,experiment with hybrid LLM-evolution strategies,6
2511.16582,classify philosophical arguments about machine consciousness,1
