arxiv_id,query,rank
2112.07252,how to overcome low diagnostic accuracy in wearable physiological monitors without using brain waves,5747
2109.12755,models memorizing dataset patterns instead of learning the underlying generative rules,1501
2108.03645,static memory allocation in shared computing environments leads to severe cost inefficiencies,454
2110.1491,summarizing the fragmented current literature on automated pandemic diagnostics,17545
2110.14706,preventing critical failures when autonomous systems encounter unexpected real-world objects,10
2107.00395,traditional token embeddings completely ignore the visual and historical meaning of character shapes,18846
2110.09605,procedural audio techniques lack the acoustic realism of actual environmental recordings,421
2106.05268,standard tensor operations are highly inefficient when mapped onto novel neuromorphic devices,2025
2105.10317,manually designing behavioral characteristics in divergence search is difficult and domain-dependent,42662
2106.09435,most existing game theoretic algorithms only converge in strictly adversarial two-player settings,209
2107.12979,connecting complex mathematical models of neuroscience with empirical experimental findings,929
2110.11567,standard validation fails when domain experts disagree on the correct medical diagnosis,22811
2112.04169,algorithmic bias in sequential assignment leads to heavily disadvantaged subpopulations,8016
2111.04472,lack of a unified structural definition for situational information in human-computer interaction,2
2111.07631,limitations of current game AI models,5199
2107.13669,modality imbalance and noise in sentiment analysis,625
2107.01142,siloed design of communication and control in CAVs,20755
2106.13052,complex dynamic scenarios in autonomous navigation,3665
2109.05125,lack of image-caption data for multilingual retrieval,6608
2105.07405,sensitivity to uncertain model parameters in cooperative games,77
2206.13658,explaining why geographic events occur in knowledge graphs,3
2212.10565,interpreting black-box models in medical diagnosis,9731
2209.02066,establishing user trust in language grounding systems,34
2206.119,lack of unified symbolic and score-based explanations,4056
2212.01683,analyzing sequences in robot-assisted surgery,3089
2210.09753,adapting robot behavior to emotional states in children,187
2210.14723,high dependency on large datasets for neural TTS,4055
2210.08356,improving accuracy of DNNs in safety-critical domains,13054
2211.16468,high computational cost of front-door criterion identification,22237
2207.13192,perceptibility of adversarial noise in audio,5583
2206.1194,sample inefficiency in multi-goal reinforcement learning,18522
2209.03785,high inter-subject variability in BCI systems,1884
2207.14682,lack of robustness in audio forgery detection,188
2209.02886,lack of shared knowledge in distributed robotic systems,321
2212.09328,scaling reinforcement learning in large state spaces,130
2206.14244,difficulty in modeling dynamics with visual input,16895
2211.04343,high computational cost of quantum circuit search,15462
2211.05182,lack of objective metrics for peer counselor performance,2254
2208.09554,high human feedback requirement for robot training,5478
2208.03454,sparsity and redundancy in tagging data,27000
2401.10745,potential societal risks of advanced AI models,1329
2309.10426,inability of models to handle compound object structures,2012
2310.12931,difficulty of manually designing rewards for complex tasks,7683
2312.09799,redundant information in video encoding,895
2312.08847,handling concept drift in process monitoring,134
2311.1377,capturing and digitizing physical artistic performance,3
2312.08571,limited diversity in current speech data augmentation,8612
2310.18316,need for efficient and interpretable AI models,3932
2311.03362,difficulty of validating learned-enabled autonomous systems,252
2310.12866,limited accuracy in predicting cancer treatment outcomes,1218
2309.05787,bridging perceptual and conceptual understanding in AI,1654
2312.07753,oversmoothing in attention-based tabular models,14579
2311.03567,bias against people of color in automated systems,8778
2311.16204,high cost of executing portfolio updates,1
2311.02847,lack of generalizability in robotic object manipulation,23314
2309.17288,inability of agent frameworks to adapt to new tasks,611
2311.13725,concerns regarding AI plagiarism and artist rights,609
2310.10863,collisions and occlusions in dense environments,3080
2310.05751,risks associated with widespread AI implementation,807
2312.14625,false data attacks in automated transportation,114
2412.05586,inability of LLMs to perform logical arithmetic reasoning,802
2411.01789,lack of automated test oracles for libraries,645
2412.17338,lack of interpretability in standard neural models,15581
2410.10924,poor reliability of existing MI metrics on real-world data,75
2412.0948,absence of universal optimal parameters in AI,7698
2412.17288,high cost of labeling for robot task learning,7185
2412.16425,benchmarking challenges in medical image analysis,1303
2412.12198,understanding parallel versus serial search mechanisms,8
2410.18861,difficulty of watermarking models without secrecy,161
2410.15048,rigid predefined roles in agent frameworks,4015
2412.16925,difficulty in measuring nuanced social media engagement,2110
2410.08911,lack of standardized tools for runtime behavior analysis,5
2412.19834,vulnerability of watermarks to adversarial fine-tuning,15
2412.17616,distinguishing macro and micro expressions in real-time,22227
2412.05587,inefficient coding for complex geospatial datasets,6665
2501.01435,security challenges of autonomous model-based applications,256
2410.18475,heterogeneity in metabolic graph data,18741
2412.06312,limitations of standard languages for modeling planning tasks,79
2411.10464,identifying lack of attention during remote classes,13
2412.16788,overlooking data attributes in graph anomaly detection,11
2511.21448,lack of diverse email datasets for security testing,869
2512.0553,susceptibility of models to misleading cues,36692
2511.01018,preventing severe asthma exacerbations in children,243
2511.11252,lack of physically grounded benchmarks for UAVs,1724
2511.15002,improving robustness of reinforcement learning in radio networks,1474
2512.09319,latency and energy limits in industrial IoT,862
2511.05625,displacing human effort in the learning process,3783
2511.04144,bypassing deep learning with instant AI support,9519
2511.13365,privacy leakage from smashed data in split inference,29
2512.1472,lack of realistic testbeds for social media agents,467
2512.07009,high computational cost of farm video processing,635
2511.08206,lack of standardized evaluation for structured EHR data,4632
2511.19457,performance bottlenecks in edge-based neural network execution,396
2512.23889,AI models misrepresenting public climate views,23
2512.04359,policy exploration collapse in RL-based reasoning,12492
2510.26384,high cost of comprehensive AI benchmark evaluation,25773
2512.14181,lack of guidance for designing quantum circuit encoders,10535
2511.17592,difficulty reproducing LLM-guided optimization research,7638
2511.16582,lack of structure in AI consciousness debates,368
2511.15141,noisy and irrelevant user history in RAG systems,4247
2605.26754,model failure to ignore poisoned retrieval evidence,316
2605.28098,bias magnification in multi-agent environments,3958
2605.21974,information loss during table-to-graph conversion,1597
2605.07896,structural limitations of conversational AI interfaces,1526
2606.03161,lack of standardized trust layer for open agent networks,8
2605.16043,difficulty of generalizing vision-based manipulation policies,515
2605.26646,lack of unified RL optimization for agent workflows,7218
2605.10804,identifying student mental health risks with AI,671
2606.05792,difficulty of generating valid formal specifications from natural language,906
2605.1177,unverified code execution in LLM agents,2744
2606.03252,poor generalization in drone path planning,339
2605.27331,hallucination and lack of expertise in legal AI,34
2605.19147,susceptibility of LLMs to triggered harmful content,35600
2605.3028,fragmented capabilities in specialized robot models,36880
2605.29068,high query cost of reasoning-based safety models,8143
2605.05951,instability in long-term imagined rollouts,25164
2605.09515,poor understanding of multi-head attention interactions,12727
2605.15543,difficulty generalizing game abstraction techniques,6103
2605.05402,assessing effectiveness of street-level interventions,253
2605.30854,strategic failure modes in multi-agent RL,1710
2106.1359,instability and mode collapse in GANs,612
2107.05747,lack of optimization theory for Hebbian networks,14807
2110.00804,bridging neural and symbolic reasoning,3701
2106.05876,inconsistent evaluation of transport detection pipelines,2280
2106.06842,poor performance in multi-task reinforcement learning,1551
2109.00882,information sharing in non-stationary environments,2498
2111.00185,opaque convergence conditions for policy gradients,1
2111.02374,complex and ambiguous dataset licensing,33195
2110.03092,identifying different types of model failures,14040
2110.12399,lack of interpretability in NAS predictors,12959
2110.1108,lack of realistic datasets for mouse movement biometrics,84
2109.06489,modeling long-term variable interdependencies,1675
2110.00695,lack of long-term predictive models for signal fading,2404
2111.02034,legal risks associated with training data collection,25
2109.12073,inefficiency of representing power grids as simple vectors,306
2110.02497,high environment step cost in reinforcement learning,10196
2106.03099,evaluating robustness against non-specific attacks,3525
2108.12805,limited coverage in standard adversarial training,6535
2111.07736,managing sub-linear model growth in sequential tasks,20905
2108.13093,vulnerability of RL policies to input perturbations,7677
2211.08282,unifying different self-supervised learning algorithms,427
2211.04076,high memory usage of quadratic self-attention,9
2208.06975,inability of standard GNNs to solve graph coloring,11929
2209.09344,inconsistent design choices in crowd simulation,3535
2207.0619,inability of neural models to exploit inference time,3844
2211.05567,computational inefficiency of traditional numerical solvers,4850
2210.08349,performance degradation caused by drastic model updates,3160
2211.08583,poor generalization of deep learning models on new data,16656
2212.04717,sensitivity to errors in human behavioral models,5524
2211.08742,unfair treatment of vulnerable patient subgroups,14485
2206.11054,high-dimensional observation redundancy in MARL,33077
2212.03513,difficulty choosing between different interpretability methods,360
2207.08137,lack of optimality in simultaneous-game defense models,12155
2210.15755,sub-optimal error bounds in standard policy iteration,909
2207.03075,lack of practical guides for medical federated learning,5544
2211.05946,handling uncertainty and peak loads in microgrids,21
2211.15839,discrete-only limitations of neural planning models,173
2206.07551,negative transfer caused by unknown class matching,37449
2206.09991,lack of objective functions for extreme value regression,5826
2212.13925,performance fluctuations in deep learning inference,4156
2311.06917,balancing system heterogeneity in cross-device FL,35470
2311.06567,high cost of weak supervision for disentanglement,7392
2309.16928,sub-optimal intervention performance in standard CBMs,30103
2310.10692,lack of diverse and challenging programming benchmarks,10767
2310.15793,poor generalization in low-data training regimes,15396
2311.1009,slow training speeds in CPU-based MARL environments,6236
2312.15122,scalability and safety issues in real-world driving data,2172
2310.05373,regret limits in classical bayesian optimization,5415
2312.15909,poor generalization due to limited training tasks,5817
2310.15154,understanding how language models represent sentiment,717
2310.02605,managing large action spaces in power grid control,31
2310.06117,difficulty in reasoning-intensive problem solving,74
2310.17191,how language models associate entities with attributes,70
2310.11678,solving RL tasks with temporal logic specifications,60
2309.15293,violation of i.i.d. assumptions in embodied agents,5144
2310.03718,need for versatile safe policies without retraining,11382
2312.01472,lack of reproducibility in multi-agent reinforcement learning research,3799
2311.17565,biases introduced by multi-step off-policy updates,1738
2310.09222,high computational cost of Bayesian network structure discovery,224
2312.05479,high computational cost of transformers on graphs,11071
2412.12456,integrating textual context into graph learning tasks,3364
2410.09964,identifying cell types from single-cell sequencing,188
2410.23483,difficulty attacking black-box multi-model architectures,570
2411.02142,lack of best practices for training protein models,3463
2411.00666,limitations of standard on-policy RL updates,562
2412.08147,costly weight tuning for multitask finetuning,248
2411.00074,difficulty mining complex patterns in evolving streams,107
2411.14507,irreversible performance loss in block-based pruning,7543
2411.19285,high computational cost of implicit differentiation,21474
2412.11408,overfitting to domain-specific features in FL,4155
2410.22984,inability to capture higher-order spatial-temporal patterns,4210
2412.15373,linear limitations of traditional Granger causality,487
2410.10365,over-reliance on positive samples in GCL,44766
2411.06765,dependence on expert knowledge for diagnostics,3487
2412.09843,difficulty recovering causal mechanisms from data,647
2411.15951,robustness issues in reward learning algorithms,36976
2412.0056,generalization limits sensitivity to subtle anomalies,22494
2411.02666,manual annotation costs for unstructured travel data,7709
2410.10481,privacy risks in uploading data for fine-tuning,3164
2412.07224,trainability loss in sequential reinforcement learning,5
2511.10848,lack of comparison between TSFMs and domain-specific models,11574
2511.13351,model degradation when learning new tasks,3346
2511.01819,performance drop due to environment domain shift,6456
2511.00532,lack of comparison between deep learning and classical models,13406
2512.12688,treating prompting as a heuristic vs control,54
