arxiv_id,query,rank
2112.07252,Are there ways to train an effective cardiac sleep scoring model by transferring knowledge from brain wave models?,1
2109.12755,"Can neural networks truly comprehend step-by-step algorithms, or do they just rely on surface level matching?",14
2108.03645,What are some adaptive scheduling policies for efficiently managing multiple deep learning workloads on shared processors?,1
2110.1491,What computer vision and predictive methods have been most effective for diagnosing coronavirus patients?,1
2110.14706,Are there any good benchmark datasets for finding unusual obstacles in robotic vision streams?,7
2107.00395,How can we use the geometric shapes of written characters to improve text embeddings in non-alphabetic languages?,155
2110.09605,Can generative network architectures create convincing environmental sound effects like people walking on different surfaces?,2
2106.05268,What is the role of algebraic high-dimensional spaces in designing next-generation AI hardware?,2
2105.10317,How can we dynamically adapt the feature map boundaries during evolutionary optimization?,97
2106.09435,What is a computationally efficient way to find optimal cooperative strategies in games with more than two players?,139
2107.12979,How does the mammalian brain update its internal models based on sensory mismatches?,258
2110.11567,How do you reliably assess a machine learning model if the test dataset has highly subjective or flawed labels?,124
2112.04169,How can organizations mathematically ensure fairness when assigning scarce resources to heterogeneous arriving populations?,43
2111.04472,What are the different ways environmental attributes are categorized in pervasive computing environments?,1
2111.07631,what are the main challenges and trends in human-computer gaming AI?,1
2107.13669,how to model competition between modalities in sentiment analysis?,7
2107.01142,how to design a framework for integrated control and communication in autonomous vehicles?,8
2106.13052,what are the current state-of-the-art strategies for autonomous driving at intersections?,1
2109.05125,how to perform multimodal retrieval across multiple languages using limited data?,26
2105.07405,how to derive optimal strategies for multi-agent systems with uncertain parameters?,2
2206.13658,how to represent causality of events in geographic knowledge graphs?,2
2212.10565,how to effectively use explainable AI methods in medical image classification?,1
2209.02066,what are the factors affecting user trust in human-robot language grounding?,1
2206.119,how to generate both symbolic and score-based explanations for machine learning models?,1
2212.01683,can transformer models be used to predict gestures in robotic surgery?,1
2210.09753,how to use automated planning for social robots in pediatric healthcare?,1
2210.14723,how to train a text-to-speech system with very limited labeled data?,5
2210.08356,how to automatically identify and debug errors in deep neural networks?,1
2211.16468,what is the most efficient algorithm for front-door adjustment in causal graphs?,1
2207.13192,how can I create adversarial attacks on music that sound natural to humans?,1
2206.1194,how can agents learn to solve multiple different goals in an environment efficiently?,231
2209.03785,how to adapt brain-computer interface models to new users with limited data?,40
2207.14682,what are the best methods to detect and localize edited audio segments?,106
2209.02886,how can robots in a swarm share and transfer their learned skills?,3
