arxiv_id,query,rank
2112.07252,Are there ways to train an effective cardiac sleep scoring model by transferring knowledge from brain wave models?,854
2109.12755,"Can neural networks truly comprehend step-by-step algorithms, or do they just rely on surface level matching?",188
2108.03645,What are some adaptive scheduling policies for efficiently managing multiple deep learning workloads on shared processors?,5
2110.1491,What computer vision and predictive methods have been most effective for diagnosing coronavirus patients?,1564
2110.14706,Are there any good benchmark datasets for finding unusual obstacles in robotic vision streams?,75
2107.00395,How can we use the geometric shapes of written characters to improve text embeddings in non-alphabetic languages?,33066
2110.09605,Can generative network architectures create convincing environmental sound effects like people walking on different surfaces?,32
2106.05268,What is the role of algebraic high-dimensional spaces in designing next-generation AI hardware?,767
2105.10317,How can we dynamically adapt the feature map boundaries during evolutionary optimization?,7972
2106.09435,What is a computationally efficient way to find optimal cooperative strategies in games with more than two players?,38
2107.12979,How does the mammalian brain update its internal models based on sensory mismatches?,2077
2110.11567,How do you reliably assess a machine learning model if the test dataset has highly subjective or flawed labels?,13320
2112.04169,How can organizations mathematically ensure fairness when assigning scarce resources to heterogeneous arriving populations?,245
2111.04472,What are the different ways environmental attributes are categorized in pervasive computing environments?,96
2111.07631,what are the main challenges and trends in human-computer gaming AI?,35
2107.13669,how to model competition between modalities in sentiment analysis?,242
2107.01142,how to design a framework for integrated control and communication in autonomous vehicles?,3249
2106.13052,what are the current state-of-the-art strategies for autonomous driving at intersections?,4
2109.05125,how to perform multimodal retrieval across multiple languages using limited data?,6694
2105.07405,how to derive optimal strategies for multi-agent systems with uncertain parameters?,3
2206.13658,how to represent causality of events in geographic knowledge graphs?,1
2212.10565,how to effectively use explainable AI methods in medical image classification?,1882
2209.02066,what are the factors affecting user trust in human-robot language grounding?,9
2206.119,how to generate both symbolic and score-based explanations for machine learning models?,169
2212.01683,can transformer models be used to predict gestures in robotic surgery?,1406
2210.09753,how to use automated planning for social robots in pediatric healthcare?,32
2210.14723,how to train a text-to-speech system with very limited labeled data?,216
2210.08356,how to automatically identify and debug errors in deep neural networks?,4297
2211.16468,what is the most efficient algorithm for front-door adjustment in causal graphs?,560
2207.13192,how can I create adversarial attacks on music that sound natural to humans?,657
2206.1194,how can agents learn to solve multiple different goals in an environment efficiently?,566
2209.03785,how to adapt brain-computer interface models to new users with limited data?,4744
2207.14682,what are the best methods to detect and localize edited audio segments?,782
2209.02886,how can robots in a swarm share and transfer their learned skills?,337
2212.09328,can quantum algorithms speed up reinforcement learning training?,68
2206.14244,how can we decouple visual representation and dynamics in robotic reinforcement learning?,185
2211.04343,how can we automate the design of optimal quantum circuits?,4099
