arxiv_id,query,rank
2112.07252,how to overcome low diagnostic accuracy in wearable physiological monitors without using brain waves,85
2109.12755,models memorizing dataset patterns instead of learning the underlying generative rules,715
2108.03645,static memory allocation in shared computing environments leads to severe cost inefficiencies,25
2110.1491,summarizing the fragmented current literature on automated pandemic diagnostics,23
2110.14706,preventing critical failures when autonomous systems encounter unexpected real-world objects,16
2107.00395,traditional token embeddings completely ignore the visual and historical meaning of character shapes,52
2110.09605,procedural audio techniques lack the acoustic realism of actual environmental recordings,45
2106.05268,standard tensor operations are highly inefficient when mapped onto novel neuromorphic devices,153
2105.10317,manually designing behavioral characteristics in divergence search is difficult and domain-dependent,19278
2106.09435,most existing game theoretic algorithms only converge in strictly adversarial two-player settings,42
2107.12979,connecting complex mathematical models of neuroscience with empirical experimental findings,943
2110.11567,standard validation fails when domain experts disagree on the correct medical diagnosis,724
2112.04169,algorithmic bias in sequential assignment leads to heavily disadvantaged subpopulations,1247
2111.04472,lack of a unified structural definition for situational information in human-computer interaction,1
2111.07631,limitations of current game AI models,47
2107.13669,modality imbalance and noise in sentiment analysis,4
2107.01142,siloed design of communication and control in CAVs,46
2106.13052,complex dynamic scenarios in autonomous navigation,45
2109.05125,lack of image-caption data for multilingual retrieval,43
2105.07405,sensitivity to uncertain model parameters in cooperative games,50
2206.13658,explaining why geographic events occur in knowledge graphs,2
2212.10565,interpreting black-box models in medical diagnosis,39
2209.02066,establishing user trust in language grounding systems,1
2206.119,lack of unified symbolic and score-based explanations,1
2212.01683,analyzing sequences in robot-assisted surgery,3
2210.09753,adapting robot behavior to emotional states in children,1
2210.14723,high dependency on large datasets for neural TTS,141
2210.08356,improving accuracy of DNNs in safety-critical domains,1
2211.16468,high computational cost of front-door criterion identification,9
2207.13192,perceptibility of adversarial noise in audio,7
2206.1194,sample inefficiency in multi-goal reinforcement learning,1436
2209.03785,high inter-subject variability in BCI systems,7
2207.14682,lack of robustness in audio forgery detection,8
2209.02886,lack of shared knowledge in distributed robotic systems,9
2212.09328,scaling reinforcement learning in large state spaces,1764
2206.14244,difficulty in modeling dynamics with visual input,6
2211.04343,high computational cost of quantum circuit search,26
2211.05182,lack of objective metrics for peer counselor performance,2
2208.09554,high human feedback requirement for robot training,2136
2208.03454,sparsity and redundancy in tagging data,7428
2401.10745,potential societal risks of advanced AI models,284
2309.10426,inability of models to handle compound object structures,37
2310.12931,difficulty of manually designing rewards for complex tasks,7
2312.09799,redundant information in video encoding,45
2312.08847,handling concept drift in process monitoring,13
2311.1377,capturing and digitizing physical artistic performance,39
2312.08571,limited diversity in current speech data augmentation,20
2310.18316,need for efficient and interpretable AI models,9907
2311.03362,difficulty of validating learned-enabled autonomous systems,36
2310.12866,limited accuracy in predicting cancer treatment outcomes,23
2309.05787,bridging perceptual and conceptual understanding in AI,384
2312.07753,oversmoothing in attention-based tabular models,4
2311.03567,bias against people of color in automated systems,1
2311.16204,high cost of executing portfolio updates,3
2311.02847,lack of generalizability in robotic object manipulation,101
2309.17288,inability of agent frameworks to adapt to new tasks,363
2311.13725,concerns regarding AI plagiarism and artist rights,2
2310.10863,collisions and occlusions in dense environments,230
2310.05751,risks associated with widespread AI implementation,52
2312.14625,false data attacks in automated transportation,2
2412.05586,inability of LLMs to perform logical arithmetic reasoning,41
2411.01789,lack of automated test oracles for libraries,45
2412.17338,lack of interpretability in standard neural models,6110
2410.10924,poor reliability of existing MI metrics on real-world data,146
2412.0948,absence of universal optimal parameters in AI,2598
2412.17288,high cost of labeling for robot task learning,4595
2412.16425,benchmarking challenges in medical image analysis,2477
2412.12198,understanding parallel versus serial search mechanisms,1
2410.18861,difficulty of watermarking models without secrecy,40
2410.15048,rigid predefined roles in agent frameworks,275
2412.16925,difficulty in measuring nuanced social media engagement,219
2410.08911,lack of standardized tools for runtime behavior analysis,1
2412.19834,vulnerability of watermarks to adversarial fine-tuning,1
2412.17616,distinguishing macro and micro expressions in real-time,5
2412.05587,inefficient coding for complex geospatial datasets,1
2501.01435,security challenges of autonomous model-based applications,37
2410.18475,heterogeneity in metabolic graph data,38
2412.06312,limitations of standard languages for modeling planning tasks,234
2411.10464,identifying lack of attention during remote classes,15
2412.16788,overlooking data attributes in graph anomaly detection,1
2511.21448,lack of diverse email datasets for security testing,2
2512.0553,susceptibility of models to misleading cues,11638
2511.01018,preventing severe asthma exacerbations in children,1
2511.11252,lack of physically grounded benchmarks for UAVs,4
2511.15002,improving robustness of reinforcement learning in radio networks,41
2512.09319,latency and energy limits in industrial IoT,285
2511.05625,displacing human effort in the learning process,1523
2511.04144,bypassing deep learning with instant AI support,7698
2511.13365,privacy leakage from smashed data in split inference,1
2512.1472,lack of realistic testbeds for social media agents,1
2512.07009,high computational cost of farm video processing,1
2511.08206,lack of standardized evaluation for structured EHR data,12
2511.19457,performance bottlenecks in edge-based neural network execution,7
2512.23889,AI models misrepresenting public climate views,1
2512.04359,policy exploration collapse in RL-based reasoning,1951
2510.26384,high cost of comprehensive AI benchmark evaluation,407
2512.14181,lack of guidance for designing quantum circuit encoders,81
2511.17592,difficulty reproducing LLM-guided optimization research,679
